"CountryCode","SeriesCode","DESCRIPTION",
"AUT","SP.DYN.LE00.FE.IN","Data source: Eurostat, Statistik Austria",
"AUT","SP.DYN.LE00.MA.IN","Data source: Eurostat, Statistik Austria",
"AUT","SP.DYN.TFRT.IN","Data source: Eurostat",
"AUT","SP.POP.TOTL","Data source: Eurostat",
"AZE","SG.POP.MIGR.FE.ZS","Including Nagorno-Karabakh. Estimates were derived from data on the foreign-born population. The number of refugees or persons in refugee-like situations as reported by the Office of the United Nations High Commissioner for Refugees (UNHCR) or, where appropriate, the United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA) were added to the 2 estimates.",
"AZE","SP.ADO.TFRT","Including Nagorno-Karabakh.",
"AZE","SP.DYN.CBRT.IN","Data source: State Statistical Committee, United Nations World Population Prospects",
"AZE","SP.DYN.CDRT.IN","Data source: State Statistical Committee, United Nations World Population Prospects",
"AZE","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"AZE","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"AZE","SP.DYN.TFRT.IN","Data source: State Statistical Committee, Eurostat, United Nations World Population Prospects",
"AZE","SP.POP.AG00.FE.IN","Including Nagorno-Karabakh.",
"AZE","SP.POP.AG00.MA.IN","Including Nagorno-Karabakh.",
"AZE","SP.POP.AG01.FE.IN","Including Nagorno-Karabakh.",
"AZE","SP.POP.AG01.MA.IN","Including Nagorno-Karabakh.",
"AZE","SP.POP.AG02.FE.IN","Including Nagorno-Karabakh.",
"AZE","SP.POP.AG02.MA.IN","Including Nagorno-Karabakh.",
"AZE","SP.POP.AG03.FE.IN","Including Nagorno-Karabakh.",
"AZE","SP.POP.AG03.MA.IN","Including Nagorno-Karabakh.",
"AZE","SP.POP.AG04.FE.IN","Including Nagorno-Karabakh.",
"AZE","SP.POP.AG04.MA.IN","Including Nagorno-Karabakh.",
"AZE","SP.POP.AG05.FE.IN","Including Nagorno-Karabakh.",
"AZE","SP.POP.AG05.MA.IN","Including Nagorno-Karabakh.",
"AZE","SP.POP.BRTH.MF","Including Nagorno-Karabakh.",
"AZE","SP.POP.TOTL","Data source: Eurostat, State Statistical Committee, United Nations World Population Prospects",
"BDI","SG.POP.MIGR.FE.ZS","Estimates were derived from data on the foreign-born population. The number of refugees or persons in refugee-like situations as reported by the Office of the United Nations High Commissioner for Refugees (UNHCR) or, where appropriate, the United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA) were added to the 2 estimates.",
"BDI","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"BDI","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"BDI","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
